2026-07-19 01:15:53,090 | WARNING | auth-service | Login blocked due to excessive failed attempts for identifier_hash=855f96e983f1
2026-07-20 00:02:47,949 | WARNING | auth-service | Rate limit exceeded request_id=4e2755d5-28fb-48d3-a85c-22a2326ff335 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:02:47,964 | WARNING | auth-service | Rate limit exceeded request_id=217713d3-d280-411b-9de1-cc17c54e91de client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:02:47,979 | WARNING | auth-service | Rate limit exceeded request_id=349b028c-ca5d-4385-bc3a-4331fbcab555 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:02:47,995 | WARNING | auth-service | Rate limit exceeded request_id=af61d6be-e9f3-42ea-bf31-68bce8092781 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:02:48,012 | WARNING | auth-service | Rate limit exceeded request_id=4da94c89-4f88-47d1-9cf4-5c140b112139 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:02:48,029 | WARNING | auth-service | Rate limit exceeded request_id=048386bf-f24b-4542-926d-b667eb8deb2a client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:03:11,900 | WARNING | auth-service | Rate limit exceeded request_id=63bc1697-8512-46c7-91f4-5c3cd5bc31f8 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:03:11,981 | WARNING | auth-service | Rate limit exceeded request_id=4faf8f6b-0639-4e87-a2cd-81759f351f0c client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:03:11,997 | WARNING | auth-service | Rate limit exceeded request_id=891e0003-3124-4441-a4b8-f9c4f30689b3 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:03:12,011 | WARNING | auth-service | Rate limit exceeded request_id=2ae0411e-03e1-4b58-be5c-96f0ac39e572 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:03:12,028 | WARNING | auth-service | Rate limit exceeded request_id=894c49fd-3c9c-4a76-aefc-a128d092e7ce client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:03:12,044 | WARNING | auth-service | Rate limit exceeded request_id=449d7e30-78b3-4cc1-a3cc-12ae8e8ad4d3 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:03:12,059 | WARNING | auth-service | Rate limit exceeded request_id=dcf7e96e-dfae-408b-aae5-5455effa3513 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:03:12,077 | WARNING | auth-service | Rate limit exceeded request_id=0f534321-042b-47c7-a6ff-b7a6837af114 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:03:12,096 | WARNING | auth-service | Rate limit exceeded request_id=f73494f0-2573-4a83-bd1e-018e3d3361a6 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:10:29,453 | WARNING | auth-service | Rate limit exceeded request_id=3143d8e6-e26a-4d8e-b424-73b40049c3e2 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:10:29,471 | WARNING | auth-service | Rate limit exceeded request_id=60027abb-8962-4615-a544-edd3112ef7b1 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:10:29,486 | WARNING | auth-service | Rate limit exceeded request_id=371a43f4-f651-43fb-8ac8-fc3f8c487dc8 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:10:29,501 | WARNING | auth-service | Rate limit exceeded request_id=5ae726fa-e5bc-4415-816f-4abdad979607 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:10:29,517 | WARNING | auth-service | Rate limit exceeded request_id=01341de7-be72-4dbc-88a7-df6a0ccdae49 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-20 00:10:29,534 | WARNING | auth-service | Rate limit exceeded request_id=dd163df2-89a2-4849-9379-6b0dc12a19b6 client_ip_hash=846488f1dc5c path=/auth/register
2026-07-21 11:41:33,510 | WARNING | auth-service | Rate limit exceeded request_id=50dff3e8-e783-46b0-b6ed-9356d1f9f357 client_ip_hash=12ca17b49af2 path=/auth/login
2026-07-21 11:41:33,513 | WARNING | auth-service | Rate limit exceeded request_id=1dcd6df7-23a1-498d-846e-8077bff0c71e client_ip_hash=12ca17b49af2 path=/auth/login
2026-07-21 11:41:33,670 | WARNING | auth-service | Rate limit exceeded request_id=0186fc98-715b-4382-89b8-91650be0b3e6 client_ip_hash=12ca17b49af2 path=/auth/login
2026-07-21 11:41:33,861 | WARNING | auth-service | Rate limit exceeded request_id=e2094287-c1a1-4f26-a5e5-b7f6b6e3f92c client_ip_hash=12ca17b49af2 path=/auth/login
2026-07-21 11:41:58,806 | WARNING | auth-service | Rate limit exceeded request_id=1a7a92e8-f959-4f59-9ed1-776540410ef8 client_ip_hash=12ca17b49af2 path=/auth/login
